Player,Team,PSxG,Goals Prevented
Rui Patrício\79b0d6a0,Roma,27.4,-1.6
Salvatore Sirigu\10dc46f0,Genoa,37.1,-5.9
Guglielmo Vicario\77d6fd4d,Empoli,44.7,+1.7
Andrea Consigli\8cabdc1e,Sassuolo,35.1,-2.9
Thibaut Courtois\1840e36d,Real Madrid,21.1,+1.1
Matías Dituro\b6160ad0,Celta Vigo,29.6,+4.6
Ederson\3bb7b8b4,Manchester City,12.5,-1.5
Łukasz Fabiański\9328b835,West Ham,31.4,+1.4
Gauthier Gallon\db3164e1,Troyes,28.9,-0.1
David de Gea\7ba6d84e,Manchester Utd,38.5,+9.5
Samir Handanović\74419746,Inter,18.4,+0.4
Alban Lafont\4e7db402,Nantes,26.9,-0.1
Jeremías Ledesma\6c4776b1,Cádiz,38.7,+0.7
Alexander Nübel\afb0c500,Monaco,27.6,+3.6
Predrag Rajković\58ad9383,Reims,25.7,-1.3
Łukasz Skorupski\ab4449d6,Bologna,34.3,-0.7
David Soria\8f8c6934,Getafe,21.1,-1.9
Walter Benítez\8a2248b4,Nice,21.9,+3.9
Marco Bizot\3d214e5f,Brest,28.3,-4.7
Sergio Herrera\a4995f48,Osasuna,23,-1
Diego López\73683fa9,Espanyol,27.7,-0.3
Illan Meslier\6b625ac2,Leeds United,36.1,-5.9
Vanja Milinković-Savić\9fa26bc2,Torino,20,-3
Paul Nardi\2d70dbe5,Lorient,31.4,-4.6
Jan Oblak\ee8508c0,Atlético Madrid,18.3,-9.7
Matz Sels\834b5c4c,Strasbourg,27,-1
Anthony Lopes\f00de885,Lyon,28.8,+2.8
Benoît Costil\2434f24a,Bordeaux,39.3,-10.7
Alessio Cragno\f554e29b,Cagliari,36,-3
Rafał Gikiewicz\17376543,Augsburg,30.9,-2.1
Ivo Grbić\3f034750,Lille,27.3,+0.3
Hugo Lloris\8f62b6ee,Tottenham,27.1,+1.1
Emiliano Martínez\7956236f,Aston Villa,25.9,-5.1
Lorenzo Montipò\c1d95617,Hellas Verona,26.8,-5.2
Gerónimo Rulli\625c144a,Villarreal,18,0
José Sá\903b6e8b,Wolves,22.3,+6.3
Robert Sánchez\6a713852,Brighton,21.6,+0.6
Alexander Schwolow\0d55d942,Hertha BSC,40.8,-2.2
Marco Silvestri\0d422df7,Udinese,24.5,-2.5
Yann Sommer\420c18a1,M'Gladbach,40.6,+3.6
Wojciech Szczęsny\01b8a2b2,Juventus,17.8,+0.8
Robin Zentner\5c4bf6ba,Mainz 05,22.2,+0.2
Juan Musso\a111cf41,Atalanta,20.5,-3.5
Jean-Louis Leca\edbe46dc,Lens,24.3,-3.7
Alisson\7a2e46a8,Liverpool,18.8,+2.8
Oliver Baumann\47064058,Hoffenheim,30,0
Vid Belec\4f8ce0e1,Salernitana,34.9,-8.1
Vicente Guaita\ab13a5aa,Crystal Palace,24.3,-4.7
Péter Gulácsi\bcb2ccd8,RB Leipzig,26.2,+4.2
Lukáš Hrádecký\ad3389d5,Leverkusen,33.2,+1.2
Andreas Luthe\7fe12375,Union Berlin,25.3,+1.3
Edouard Mendy\33887998,Chelsea,15.7,+0.7
Manuel Neuer\8778c910,Bayern Munich,17.4,-1.6
Stefan Ortega\c1242d4e,Arminia,30.4,+3.4
David Ospina\82b1198a,Napoli,14.3,+1.3
Jordan Pickford\4806ec67,Everton,29.9,-3.1
Manuel Riemann\9f941969,Bochum,33.6,+6.6
Kasper Schmeichel\53af52f3,Leicester City,32.6,-3.4
Marc-André ter Stegen\6f51e382,Barcelona,19.8,-2.2
Kevin Trapp\ce17b5eb,Eint Frankfurt,32.4,+1.4
Fernando Pacheco\97852360,Alavés,29.9,-4.1
Emil Audero\649b01d8,Sampdoria,31,-5
Gregor Kobel\cd59b9df,Dortmund,27.5,-2.5
Koen Casteels\db401046,Wolfsburg,26.1,-0.9
Mark Flekken\a92ab7be,Freiburg,20.7,+4.7
Tim Krul\f23f9d20,Norwich City,34,-1
Pau López\20b9f052,Marseille,17.6,+2.6
Álex Remiro\374ee424,Real Sociedad,16.1,+0.1
Unai Simón\5dcf3e90,Athletic Club,14,+1.0
Stole Dimitrievski\fc70e345,Rayo Vallecano,24.4,+5.4
Luís Maximiano\3318286e,Granada,29.9,+3.9
Pietro Terracciano\e1b0a70d,Fiorentina,23.5,-1.5
Yassine Bounou\f6798fc3,Sevilla,12.1,+2.1
Alfred Gomis\cecbce23,Rennes,16.9,+0.9
Mike Maignan\fcb38f57,Milan,18.7,+3.7
Alexandre Oukidja\ae7d0ecd,Metz,29.9,-4.1
Nick Pope\4b40d9ca,Burnley,22.3,+0.3
Aaron Ramsdale\466fb2c5,Arsenal,16.5,+0.5
Manolo Reina\605eb473,Mallorca,21.6,-2.4
Jonas Omlin\c631f952,Montpellier,20.4,-0.6
Florian Müller\cbac6ec9,Stuttgart,23.5,-6.5
Ivan Provedel\277da414,Spezia,21.5,-1.5
Alex McCarthy\36c2ca73,Southampton,20.8,-0.2
Pepe Reina\e358587b,Lazio,24.2,-4.8
