Rk,Player,Squad,90s,40+YardsComp,40+YardsAtt,40>Yards,AvgLen,OPA,Perc,OPA/90
83,Manuel Neuer\8778c910,Bayern Munich,20,118,203,774,30.3,35,58.12807882,1.75
1,Manuel Riemann\9f941969,Bochum,20,346,749,893,49.7,34,46.19492657,1.7
13,Nick Pope\4b40d9ca,Burnley,18,162,416,375,53.8,27,38.94230769,1.5
59,David Raya\98ea5115,Brentford,10,95,256,372,42.7,15,37.109375,1.5
92,Alisson\7a2e46a8,Liverpool,21,88,180,634,30.2,28,48.88888889,1.333333333
38,Sascha Burchert\25bdea4b,Greuther Fürth,13,121,316,395,45.4,17,38.29113924,1.307692308
137,Gianluigi Donnarumma\08f5afaa,Paris S-G,10,21,38,213,23.7,13,55.26315789,1.3
41,Predrag Rajković\58ad9383,Reims,23,113,309,549,39.3,29,36.56957929,1.260869565
53,Oliver Baumann\47064058,Hoffenheim,20,91,271,801,31.5,25,33.57933579,1.25
62,Robin Zentner\5c4bf6ba,Mainz 05,21,86,251,492,36.5,26,34.26294821,1.238095238
16,Luís Maximiano\3318286e,Granada,18.8,143,402,489,43.2,23,35.5721393,1.223404255
55,Álex Remiro\374ee424,Real Sociedad,19,132,268,501,35.5,23,49.25373134,1.210526316
63,Péter Gulácsi\bcb2ccd8,RB Leipzig,20,95,249,584,34,24,38.15261044,1.2
96,Gregor Kobel\cd59b9df,Dortmund,19.5,65,171,580,29.1,23,38.01169591,1.179487179
31,Robert Sánchez\6a713852,Brighton,21,115,341,768,36.4,24,33.72434018,1.142857143
5,Sergio Herrera\a4995f48,Osasuna,22,264,542,502,54.6,25,48.70848708,1.136363636
14,Kevin Trapp\ce17b5eb,Eint Frankfurt,20,144,415,654,38.2,22,34.69879518,1.1
34,Yann Sommer\420c18a1,M'Gladbach,21,144,324,733,34.3,23,44.44444444,1.095238095
42,Pietro Terracciano\e1b0a70d,Fiorentina,18.8,174,308,804,33.8,20,56.49350649,1.063829787
40,Alexandre Oukidja\ae7d0ecd,Metz,18,132,312,360,45.2,19,42.30769231,1.055555556
49,Illan Meslier\6b625ac2,Leeds United,22,86,273,663,31.2,23,31.5018315,1.045454545
98,Ederson\3bb7b8b4,Manchester City,23,89,157,581,29.5,24,56.68789809,1.043478261
70,Mike Maignan\fcb38f57,Milan,18,108,232,526,36.1,18,46.55172414,1
99,Timo Horn\3cd9e95a,Köln,12,82,157,382,34.9,12,52.22929936,1
